湖 南（955座）


序号 宫观名称 地址 派别
267 灶王宫 湖南省怀化市新晃侗族自治县新晃镇龙溪路2 正一

268 景星观 湖南省怀化市溆浦县桥江镇桐坡村5组 正一

269 玉皇宫 湖南省怀化市溆浦县溪口村12组 正一

270 善司殿 湖南省怀化市溆浦县九溪江乡乌楼冲村5组 正一

271 伏波宫 湖南省怀化市溆浦县江口镇下街4组 正一

272 飞山庙 湖南省怀化市溆浦县江口镇大江坪村5组 正一

273 旗山观 湖南省怀化市溆浦县低庄镇荆湖村7组 正一

274 伍兴殿 湖南省怀化市溆浦县低庄镇阳兴村6组 正一

275 祖师殿 湖南省怀化市溆浦县桥江镇独石村3组 正一

276 黑神殿 湖南省怀化市溆浦县桥江镇车头村6组 正一

277 朝阳观 湖南省怀化市溆浦县桥江镇菜园村4组 正一

278 万圣殿 湖南省怀化市溆浦县油洋乡河底江村6组 正一

279 永兴殿 湖南省怀化市溆浦县双井镇桂花村5组 正一

280 文昌殿 湖南省怀化市溆浦县双井镇夏家垅村1组 正一

281 中山殿 湖南省怀化市溆浦县沿溪乡朱家园村5组 正一

282 五岳殿 湖南省怀化市溆浦县木溪乡木溪村7组 正一

283 观音殿 湖南省怀化市溆浦县水东镇嵩口湾村7组 正一

284 黑神殿 湖南省怀化市溆浦县卢峰镇万水村6组 正一

285 金星殿 湖南省怀化市溆浦县卢峰镇高低村9组 正一

286 观音阁 湖南省怀化市溆浦县卢峰镇长乐方村6组 正一

287 复修殿 湖南省怀化市溆浦县卢峰镇梁家坡村2组 正一

288 云峰宫 湖南省怀化市溆浦县大华乡红岩村8组 正一

289 黑神殿 湖南省怀化市溆浦县观音阁镇青龙村9组 正一

290 龙星观 湖南省怀化市溆浦县黄茅园镇西坪村8组 正一

291 迴龙观 湖南省怀化市溆浦县卢峰镇万水村6组 正一

292 雷祖殿 湖南省怀化市溆浦县均坪镇板溪村4组 正一

293 观音殿 湖南省怀化市溆浦县双井镇水集村5组 正一

294 兴隆庵 湖南省怀化市溆浦县双井镇大唐村15组 正一

