湖 北（642座）


序号 宫观名称 地址 派别
113 慈灵观 湖北省黄冈市浠水县关口镇四鸡山村 全真

114 天骝观 湖北省黄冈市浠水县汪岗镇蔡凉亭村 全真

115 天仙观 湖北省黄冈市浠水县汪岗镇天子岙村 全真

116 杨泗庙 湖北省黄冈市浠水县巴河镇杨泗庙街 全真

117 太子庙 湖北省黄冈市浠水县洗马镇姜堰村 全真

118 城角都殿 湖北省黄冈市浠水县蔡河镇城角村 全真

119 二龙宫 湖北省黄冈市浠水县洗马镇接令桥村 全真

120 赛帝庙 湖北省黄冈市浠水县团陂镇蔡井村 全真

121 大仕阁 湖北省黄冈市浠水县清泉镇十月村 全真

122 三圣宫 湖北省黄冈市浠水县汪岗镇瓦铺冲村 全真

123 豹龙庙 湖北省黄冈市浠水县关口镇豹龙庙村 全真

124 龙 宫 湖北省黄冈市浠水县清泉镇拔炉山村 全真

125 龙珠古刹（含药王庙） 湖北省黄冈市浠水县洗马镇燕毛咀村 全真

126 金圣观 湖北省黄冈市浠水县洗马镇洗马畈村 全真

127 红莲观音阁 湖北省黄冈市浠水县散花镇红莲巢村 全真

128 长安庙 湖北省黄冈市浠水县竹瓦镇长安村 全真

129 玉皇庙 湖北省黄冈市浠水县蔡河镇玉皇庙村六组 全真

130 太平宫 湖北省黄冈市浠水县关口镇歇坳村 全真

131 斗姥宫 湖北省黄冈市浠水县巴河镇长港村 全真

132 老君庙 湖北省黄冈市浠水县蔡河镇晶山村9组 全真

133 玄都观 湖北省黄冈市浠水县清泉镇神山村 全真

134 积福宫 湖北省黄冈市浠水县关口镇歇树村 全真

135 凌塘庙 湖北省黄冈市浠水县关口镇华咀村 全真

136 万法庵 湖北省黄冈市浠水县蔡河镇下石港村 全真

137 迴龙庙 湖北省黄冈市浠水县白莲镇樟树村 全真

138 炉顶山庙 湖北省黄冈市浠水县清泉镇驼背柳村 全真

139 大仙庙 湖北省黄冈市浠水县清泉镇大仙庙村 全真

140 白龙宫 湖北省黄冈市浠水县清泉镇南城翟港村 全真

141 修真观 湖北省黄冈市浠水县竹瓦镇石洞村 全真

142 关口城隍庙 湖北省黄冈市浠水县关口镇周大祠村 全真

143 青龙宫 湖北省黄冈市浠水县清泉镇南城云路口村 全真

144 团陂东岳府 湖北省黄冈市浠水县团陂镇响水河 全真

145 朝天宫 湖北省黄冈市浠水县关口镇仰天锅 全真

146 竹瓦东岳府 湖北省黄冈市浠水县竹瓦镇朱店村 全真

147 清泉观音庙 湖北省黄冈市浠水县清泉镇 全真

148 仙云庵 湖北省黄冈市浠水县散花镇禹山村 全真

149 三清观 湖北省黄冈市浠水县清泉镇十月村 全真

150 白玉宫 湖北省黄冈市浠水县白莲镇连二塘村 全真

151 慈航观 湖北省黄冈市浠水县关口镇江圳村 全真

152 龙居观 湖北省黄冈市浠水县散花镇郭畈村 全真

153 会龙宫 湖北省黄冈市浠水县竹瓦镇熊湖村 全真

154 龙王宫 湖北省黄冈市英山县南河镇黑石寨村一组 全真

155 药王宫 湖北省黄冈市英山县方家咀乡锣塘坳村九组 全真

156 武圣宫 湖北省黄冈市英山县吴家山森林公园 全真

157 三清宫 湖北省黄石市大冶市东岳街道办事处永胜村 全真

158 新美太子庙 湖北省黄石市大冶市东岳街道办事处新美村 全真

159 灵峰宝寺太尉洞 湖北省黄石市大冶市金湖街道办事处柯湾村灵 全真

160 莲花观 湖北省黄石市大冶市金湖街道办事处八角垴吴 全真

161 灵峰宫 湖北省黄石市大冶市金湖街道办事处范铺村 全真

162 楼下太子庙 湖北省黄石市大冶市金湖街道办事处汪拳村楼 全真

163 麒麟宫 湖北省黄石市大冶市金湖街道办事处柯湾村 全真

164 金海观 湖北省黄石市大冶市金湖街道办事处四斗粮村 全真

165 三宗祠 湖北省黄石市大冶市罗桥街道办事处石洪甫村 全真

166 长庚寺 湖北省黄石市大冶市陈贵镇晏畈乔村 全真

167 佛圣寺 湖北省黄石市大冶市罗桥街道办事处桃花村 全真

168 三王庙 湖北省黄石市大冶市金湖街道办事处石花村 全真

169 玉皇殿 湖北省黄石市大冶市金湖街道办事处港岭村 全真

170 青云观 湖北省黄石市大冶市还地桥镇团结村八组 全真

