浙江（上）


序号   宫观名称   地址   派别
162 天成街道万三陈府庙 浙江省温州市乐清市天成街道万三村 正一

163 天成街道万宅长春观 浙江省温州市乐清市天成街道万宅村 全真

164 天成街道万宅文昌宫 浙江省温州市乐清市天成街道万宅村 全真

165 天成街道万宅杨七府殿 浙江省温州市乐清市天成街道万宅村 正一

166 翁垟街道北街玄真道观 浙江省温州市乐清市翁垟街道北街村 全真

167 翁垟街道地团王镇安庙 浙江省温州市乐清市翁垟街道地团王村 正一

168 翁垟街道九房前广胤宫 浙江省温州市乐清市翁垟街道九房前村 全真

169 翁垟街道三屿清风道院 浙江省温州市乐清市翁垟街道三屿村 全真

170 北白象镇鹤浃庙 浙江省温州市乐清市北白象镇鹤浃村 正一

171 北白象镇磐石北门城隍庙 浙江省温州市乐清市北白象镇磐石北门村 全真

172 北白象镇磐石北门广胤宫 浙江省温州市乐清市北白象镇磐石北门村 全真

173 北白象镇小港杨府庙 浙江省温州市乐清市北白象镇小港村 正一

174 北白象镇新桥永乐宫 浙江省温州市乐清市北白象镇新桥村 正一

175 芙蓉镇上垟红岩洞 浙江省温州市乐清市芙蓉镇上垟村 正一

176 虹桥镇单板桥玉甄观 浙江省温州市乐清市虹桥镇单板桥村 全真

177 虹桥镇广胤宫（虹桥殿） 浙江省温州市乐清市虹桥镇八村横甲 全真

178 虹桥镇后塘殿 浙江省温州市乐清市虹桥镇后塘村 正一

179 虹桥镇华湫赤岩宫 浙江省温州市乐清市虹桥镇华湫村 全真

180 翁垟街道樟树下青云道观 浙江省温州市乐清市翁垟街道樟树下村 全真

181 盐盆街道盐盆五岳圣庙 浙江省温州市乐清市盐盆街道樟北村 正一

182 盐盆街道盐盆永水宫 浙江省温州市乐清市盐盆街道盐盆村 正一

183 盐盆街道杨岙青云道观 浙江省温州市乐清市盐盆街道杨岙村 全真

184 雁荡镇白溪街狮山宫 浙江省温州市乐清市雁荡镇白溪街村 正一

185 雁荡镇大坟环东庙 浙江省温州市乐清市雁荡镇大坟村 正一

186 雁荡镇殿东龙岩庙 浙江省温州市乐清市雁荡镇殿东村 正一

187 雁荡镇殿东岩头庙 浙江省温州市乐清市雁荡镇殿东村 正一

188

雁荡镇陡门头颜候庙 浙江省温州市乐清市雁荡镇陡门头村 正一

189 雁荡镇方洞 浙江省温州市乐清市雁荡镇上灵岩村 正一

190 雁荡镇靖底施颜候庙 浙江省温州市乐清市雁荡镇靖底施村 正一

191 雁荡镇灵峰北斗洞 浙江省温州市乐清市雁荡镇灵峰 全真

192 芙蓉镇黄岙双岩宫 浙江省温州市乐清市芙蓉镇黄岙村 正一

