福 建（918座）



序号    宫观名称                                地址                              派别
139 罗源余家塘金吾王宫 福建省福州市罗源县凤山镇余家塘 正一

140 罗源下长治宋公宫 福建省福州市罗源县起步镇下长治村 正一

141 罗源五里马元帅宫 福建省福州市松山镇吕洞村五里 正一

142 罗源西兰七境太尉宫 福建省福州市罗源县西兰乡西兰村 正一

143 罗源井有堂龙王宫 福建省福州市罗源县松山镇泥田村十一里 正一

144 罗源仙名境宋公宫 福建省福州市罗源县起步镇沈厝村 正一

145 罗源凤山金吾王宫 福建省福州市凤山镇南门村 正一

146 罗源飞竹西洋宫 福建省福州市罗源县飞竹镇飞竹村西洋中 正一

147 罗源凤山先锋庙 福建省福州市凤山镇西外路134号 正一

148 罗源霍口先锋庙 福建省福州市霍口畲族乡山垄湾村 正一

149 罗源凤山天后宫 福建省福州市凤山镇府前街35号 正一

150 罗源邑历坛 福建省福州市凤山镇北外路44号 正一

151 罗源上长治宋公宫 福建省福州市罗源县起步镇上长治村 正一

152 福州海屿天后宫 福建省福州市马尾区琅岐镇海屿村 正一

153 福州牛项真君堂 福建省福州市马尾亭江镇富桥新村102号 正一

154 福州琅岐天后宫 福建省福州市琅岐镇下岐村 正一

155 闽侯青口穆岭天仙府 福建省福州市闽侯青口穆岭前洋村 正一

156 闽侯青口大义吉祥宫 福建省福州市闽侯青口大义大埕村 正一

157 闽侯南通南境宫 福建省福州市闽侯县南通南通村 正一

158 闽侯青口青圃灵济宫 福建省福州市闽侯青口幸福村 正一

159 闽侯大湖兰田宫 福建省福州市闽侯县大湖乡马墘石垅 正一

160 闽侯白沙泰山宫 福建省福州市闽侯白沙镇白沙村桃峰山 正一

161 闽侯大湖郎官诸天宫 福建省福州市闽侯大湖乡郎官村 正一

162 闽侯白沙马坑泰山府 福建省福州市闽侯白沙马坑村 正一

163 闽侯甘蔗玄帝宫 福建省福州市闽侯县甘蔗环卫所对面铁路旁 正一

164 闽侯甘蔗岐山泰山祖殿 福建省福州市闽侯甘蔗青岐村 正一

