甘 肃（615所）


序号 宫观名称 地址 派别
238 花石崖 甘肃省天水市清水县陇东乡谢沟村二组 全真

239 石洞山 甘肃省天水市清水县山门镇山门村一组 全真

240 泰山庙 甘肃省天水市清水县永清镇东关村二组 全真

241 老君山道观 甘肃省天水市武山县城关镇君山村 全真

242 木梯寺道观 甘肃省天水市武山县马力镇杨坪村 全真

243 水帘洞道观 甘肃省天水市武山县榆盘乡钟楼湾村 全真

244 二郎庙 甘肃省天水市张家川回族自治县龙山镇连柯村 全真

245 古浪县龙泉观 甘肃省武威市古浪县城关街道办上城社区 全真

246 古浪县昌灵山宫观 甘肃省武威市古浪县直滩乡老城村昌灵山林区 全真

247 凉州区雷台观 甘肃省武威市凉州区东大街雷台社区雷台东路 全真

248 凉州区老爷山道观 甘肃省武威市凉州区金塔乡黄康村 全真

249 凉州区观音山道观 甘肃省武威市凉州区张义镇堡子村观音山 全真

250 凉州区莲花山道观 甘肃省武威市凉州区松树乡莲花山村莲花山 全真

251 凉州区左二河北极宫 甘肃省武威市凉州区高坝镇左二河村 全真

252 民勤县苏武庙 甘肃省武威市民勤县苏武乡苏山村 全真

253 北武当 甘肃省张掖市甘州区东大山南麓国有荒滩 全真

254 道巷庙 甘肃省张掖市甘州区北街街道东湖社区 全真

255 老寺庙 甘肃省张掖市甘州区张掖农场 全真

256 玉皇宫 甘肃省张掖市甘州区乌江镇天乐村 全真

257 民乐六坝北极宫 甘肃省张掖市民乐县六坝镇六坝村 全真

258 山丹玉皇观 甘肃省张掖市山丹县大马营乡中河村焉支山 全真

259 清虚观 甘肃省临夏回族自治州和政县城关镇龙泉村后 全真

260 康家坪风云寺 甘肃省临夏回族自治州和政县城关镇张家庄村 全真

261 邓家庄庙 甘肃省临夏回族自治州和政县城关镇后寨子村 全真

262 洒拉崖庙 甘肃省临夏回族自治州和政县城关镇洒拉崖村 全真

263 三谷龙王庙 甘肃省临夏回族自治州和政县城关镇三谷村 全真

264 小滩庙 甘肃省临夏回族自治州和政县罗家集乡小滩村 全真

265 三岔沟庙 甘肃省临夏回族自治州和政县罗家集乡三岔沟 全真

266 金家庙 甘肃省临夏回族自治州和政县罗家集乡联合村 全真

267  大滩庙 甘肃省临夏回族自治州和政县罗家集乡大滩村 全真

268 北灵观 甘肃省临夏回族自治州和政县罗家集乡三岔沟 全真

269 后李家庙 甘肃省临夏回族自治州和政县罗家集乡庙洼村 全真

270 李家庙 甘肃省临夏回族自治州和政县罗家集乡联合村 全真

271 梁家庙  甘肃省临夏回族自治州和政县罗家集乡罗家集 全真

272 赤洼尕庙 甘肃省临夏回族自治州和政县罗家集乡大滩村 全真

273 石灰沟庙 甘肃省临夏回族自治州和政县罗家集乡罗家集 全真

274 庙洼王家庙 甘肃省临夏回族自治州和政县罗家集乡庙洼村 全真

275 寨子高庙 甘肃省临夏回族自治州和政县罗家集乡裴台村 全真

276 大坪王家庙 甘肃省临夏回族自治州和政县罗家集乡大坪村 全真

277 张家庙 甘肃省临夏回族自治州和政县罗家集乡联合村 全真

278 腰沟庙 甘肃省临夏回族自治州和政县马家堡镇马集村 全真

279 庙坪大庙 甘肃省临夏回族自治州和政县马家堡镇杨台村 全真

280 脖项庙 甘肃省临夏回族自治州和政县马家堡镇脖项村 全真

281 马集庙 甘肃省临夏回族自治州和政县马家堡镇马集村 全真

282 潘咀庙 甘肃省临夏回族自治州和政县马家堡镇马家村 全真

283 大庄庙 甘肃省临夏回族自治州和政县马家堡镇马家村 全真

284 赵家庙 甘肃省临夏回族自治州和政县马家堡镇中庄村 全真

285 前川大庙 甘肃省临夏回族自治州和政县马家堡镇中庄村 全真

286 严咀庙 甘肃省临夏回族自治州和政县马家堡镇团咀村 全真

287 张家坡庙 甘肃省临夏回族自治州和政县马家堡镇小河村 全真

288 西番庄福神庙 甘肃省临夏回族自治州和政县新庄乡前进村上 全真

289 腰套福神庙 甘肃省临夏回族自治州和政县新庄乡腰套村上 全真

290 斯巴司大庙 甘肃省临夏回族自治州和政县新庄乡奋斗村上 全真

291 关滩沟山神庙 甘肃省临夏回族自治州和政县新庄乡关滩沟村 全真

292 槐岭庙 甘肃省临夏回族自治州和政县新庄乡关滩沟村 全真

293 草滩福神庙 甘肃省临夏回族自治州和政县新庄乡草滩村 全真

294 榆木福神庙 甘肃省临夏回族自治州和政县新庄乡榆木村 全真

295 金场沟庙 甘肃省临夏回族自治州和政县新庄乡金场沟村 全真

296 奋斗山神庙 甘肃省临夏回族自治州和政县新庄乡奋斗村关 全真

297 槐庄庙 甘肃省临夏回族自治州和政县新庄乡槐庄村上 全真

298 何马家福神庙 甘肃省临夏回族自治州和政县新庄乡何马家村 全真

