江 西 省 道 观 大 全
序号   宫派名称             地址                       派别
358 芦溪县白马古庙 江西省萍乡市芦溪县银河镇墨西村石陂 正一

359 芦溪县王爷古庙 江西省萍乡市芦溪县银河镇紫溪村4组 正一

360 芦溪县上埠白马古庙 江西省萍乡市芦溪县上埠镇坪里村 正一

361 芦溪县蓝大仙庵 江西省萍乡市芦溪县银河镇紫溪村4组 正一

362 芦溪县凤仪古庙 江西省萍乡市芦溪县上埠镇焕山村 正一

363 芦溪县车湘傩神庙 江西省萍乡市芦溪县南坑镇大岭村 正一

364 芦溪县七宝傩神庙 江西省萍乡市芦溪县南坑镇七宝村 正一

365 芦溪县天子庙 江西省萍乡市芦溪县南坑镇团丰村 正一

366 芦溪县康王庙 江西省萍乡市芦溪县张佳坊三江口村塘弦上组 正一

367 芦溪县宣风祝神庙 江西省萍乡市芦溪县宣风镇栗湾村 正一

368 芦溪县源南华仙寺 江西省萍乡市芦溪县源南乡源溪村 正一

369 芦溪县新泉福神庙 江西省萍乡市芦溪县新泉乡东支里村水口上 正一

370 芦溪县银河白马庙 江西省萍乡市芦溪县银河镇河下村9组 正一

371 芦溪县福庆庙 江西省萍乡市芦溪县源南乡新下村五组 正一

372 芦溪县福主庙 江西省萍乡市芦溪县源南乡源溪村1组 正一

373 芦溪县华光庙 江西省萍乡市芦溪县芦溪镇卫前村 正一

374 上栗县傩神庙 江西省萍乡市上栗县赤山镇丰泉村 正一

375 上栗县牛皇宫 江西省萍乡市上栗县福田镇明山村 正一

376 上栗县傩神宫 江西省萍乡市上栗县东源乡小枧村 正一

377 上栗县石虎洞 江西省萍乡市上栗县东源乡楼下村 正一

378 上栗县观音阁 江西省萍乡市上栗县福田镇跃星村 正一

379 上栗县长平龙王宫 江西省萍乡市上栗县长平乡流江村 正一

380 上栗县平基牛皇宫 江西省萍乡市上栗县长平乡平基村 正一

381 上栗县磐石大仙庙 江西省萍乡市上栗县上栗镇南源村 正一

382 上栗县黄冲枫梓庙 江西省萍乡市上栗县上栗镇大坪村 正一

383 上栗县三郎庙 江西省萍乡市上栗县上栗镇永红村 正一

384 上栗县许大仙庙 江西省萍乡市上栗县上栗镇佛岭村 正一

385 上栗县坛仙庙 江西省萍乡市上栗县上栗镇北上街 正一

386 上栗县妙岭牛皇宫 江西省萍乡市上栗县上栗镇斑竹村 正一

387 上栗县樟树大仙庙 江西省萍乡市上栗县上栗镇胜利村 正一

388 上栗县水源庙 江西省萍乡市上栗县上栗镇水源村 正一

389 上栗县易山庙 江西省萍乡市上栗县上栗镇夭埠村 正一

390 上栗县北冲真人寺 江西省萍乡市上栗县金山镇樟坊村 正一

391 上栗县九位大神庙 江西省萍乡市上栗县金山镇樟坊村 正一

392 上栗县荆坪将军庙 江西省萍乡市上栗县桐木镇荆坪村 正一

393 上栗县崇德观音寺 江西省萍乡市上栗县桐木镇崇德村 正一

394 上栗县华佗庙 江西省萍乡市上栗县桐木镇杨坊村 正一

395 上栗县鸡冠山包公庙 江西省萍乡市上栗县鸡冠山乡恢柳村 正一

396 上栗县鸡冠山周大仙庙 江西省萍乡市上栗县鸡冠山乡圳上村 正一

397 上栗县鸡冠山傩神庙 江西省萍乡市上栗县鸡冠山乡芦下村 正一

398 上栗县鸡冠山鸡潭庙 江西省萍乡市上栗县鸡冠山乡流源村 正一

399 上栗县得胜大王庙 江西省萍乡市上栗县鸡冠山乡驿马村 正一

400 上栗县天花仙娘庙 江西省萍乡市上栗县鸡冠山乡豆田村 正一

401 上栗县何大仙庙 江西省萍乡市上栗县鸡冠山乡砖岭村 正一

402 上栗县茭潭庙 江西省萍乡市上栗县鸡冠山乡高田村 正一

403 上栗县耿塘华山寺 江西省萍乡市上栗县赤山镇耿塘村 正一

404 上栗县王爷庙 江西省萍乡市上栗县赤山镇兰田村 正一

405 上栗县乌社祠 江西省萍乡市上栗县赤山镇湾里村 正一

406 上栗县白沙社 江西省萍乡市上栗县赤山镇大院村 正一

407 上栗县龙潭庙 江西省萍乡市上栗县赤山镇湾里村 正一

408 上栗县崇德庙 江西省萍乡市上栗县赤山镇大院村 正一

409 上栗县灌溪福主庙 江西省萍乡市上栗县赤山镇麻田村 正一

410 上栗县福主寺 江西省萍乡市上栗县赤山镇麻田村 正一

411 上栗县兰田万寿宫 江西省萍乡市上栗县赤山镇兰田村 正一

412 上栗县白马庙 江西省萍乡市上栗县福田镇清溪村 正一

413 上栗县福田楚王庙 江西省萍乡市上栗县福田镇福田村 正一

414 上栗县江岭龙王庙 江西省萍乡市上栗县东源乡江岭村 正一

415 上栗县镜山观音堂 江西省萍乡市上栗县东源乡镜山村 正一

416 上栗县羊子傩神庙 江西省萍乡市上栗县东源乡羊子村 正一

417 上栗县金台大蔚庙 江西省萍乡市上栗县东源乡羊子村 正一

418 上栗县流江龙王庙 江西省萍乡市上栗县长平乡流江村 正一

419 上栗县流江龙王宫 江西省萍乡市上栗县长平乡流江村 正一

420 上栗县落星南岳宝殿 江西省萍乡市上栗县长平乡落星村 正一

421 上栗县佛溪关公庙 江西省萍乡市上栗县长平乡佛溪村 正一

422 上栗县塘上傩神庙 江西省萍乡市上栗县长平乡塘上村 正一

423 上栗县长平万寿宫 江西省萍乡市上栗县长平乡长平村 正一

424 上栗县长平包公庙 江西省萍乡市上栗县长平乡杉木村 正一

425 上栗县福寿傩神庙 江西省萍乡市上栗县长平乡福寿村 正一

426 上栗县福寿牛皇宫 江西省萍乡市上栗县长平乡福寿村 正一

427 上栗县大茅坡天后宫 江西省萍乡市上栗县金山镇桥塘村 正一

428 上栗县无敌将军庙 江西省萍乡市上栗县桐木镇城冲村 正一

429 上栗县土主庙 江西省萍乡市上栗县东源乡宫江村 正一

430 上栗县灵山庙 江西省萍乡市上栗县上栗镇新建村 正一

431 上栗县田心龙王庙 江西省萍乡市上栗县东源乡田心村 正一

432 上栗县上栗万寿宫 江西省萍乡市上栗县上栗镇北上街 正一

433 上栗县东源贞惠宫 江西省萍乡市上栗县东源乡竺塘村 正一

434 上栗县清溪万寿宫 江西省萍乡市上栗县福田镇清溪村 正一

435 上栗县长平四圣宫 江西省萍乡市上栗县长平乡流江村 正一

436 上栗县上栗四辛庙 江西省萍乡市上栗县上栗镇泉塘村 正一

437 上栗县上栗福寿宫 江西省萍乡市上栗县上栗镇胜利村 正一

438 上栗县楼下万寿宫 江西省萍乡市上栗县赤山镇楼下村 正一

439 上栗县赤山华佗庙 江西省萍乡市上栗县赤山镇枫桥 正一

440 莲花县斜天真人殿 江西省萍乡市莲花县良坊镇斜田村 正一

441 莲花县赵公庵 江西省萍乡市莲花县高洲乡黄沙村 正一

442 萍乡经开区龙王庙 江西省萍乡市经开区横板泉塘小区 正一

443 武功山葛仙观 江西省萍乡市武功山风景名胜区龙王潭村 正一

444 武功山紫极宫 江西省萍乡市武功山风景名胜区芦溪镇古城村 正一

445 武功山三峰庙 江西省萍乡市武功山风景名胜区东江村 正一

446 武功山黄泗庙 江西省萍乡市武功山风景名胜区麻田村 正一

447 武功山福神庙 江西省萍乡市武功山风景名胜区新泉乡东支里 正一

448 武功山福主庙 江西省萍乡市武功山风景名胜区桂花村 正一

449 武功山鹅黄庙 江西省萍乡市武功山风景名胜区茅店村 正一

450 仙女湖区仰岗庙 江西省新余市仙女湖区毓秀山办天工社区太阳 正一

451 贵溪市鬼谷洞 江西省鹰潭市贵溪市冷水镇麻地乡村洞源组 正一

452 贵溪市乌鸡峰庙 江西省鹰潭市贵溪市彭湾乡星明村乌鸡峰 正一

453 贵溪市龙岩峰庙 江西省鹰潭市贵溪市滨江镇山背村童家组 正一

454 贵溪市青龙山东岳道观 江西省鹰潭市贵溪市滨江镇柏里村洪塘组 正一

455 贵溪市仙人峰庙 江西省鹰潭市贵溪市塘湾镇白果村五丈峰 正一

456 贵溪市芙蓉峰庙 江西省鹰潭市贵溪市塘湾镇高坂村 正一

457 贵溪市五丈峰庙 江西省鹰潭市贵溪市塘湾镇上祝村五丈峰 正一

458 贵溪市南极阁庙 江西省鹰潭市贵溪市金屯镇高公村肖家组 正一

459 贵溪市石上峰寺 江西省鹰潭市贵溪市金屯镇周阳村上马组 正一

460 贵溪市石岭峰庙 江西省鹰潭市贵溪市文坊镇票山村石岭峰 正一

461 贵溪市龙山寺 江西省鹰潭市贵溪市志光镇志光村危石岭姜家 正一

462 贵溪市金鸡寺 江西省鹰潭市贵溪市罗河镇太阳村东汪组 正一

463 贵溪市天龙岩狮子庙 江西省鹰潭市贵溪市罗河镇天龙岩 正一

464 贵溪市鳌石寺 江西省鹰潭市贵溪市罗河镇太田村陈家组 正一

465 贵溪市东华山七星庙 江西省鹰潭市贵溪市罗河镇新田村新田组 正一

466 余江县定江大王庙 江西省鹰潭市余江县中童镇瑶池村瑶池组 正一

467 余江县紫竹庙 江西省鹰潭市余江县洪湖乡苏家村上苏组 正一

468 余江县保安庙 江西省鹰潭市余江县锦江镇范家村范家组 正一

469 余江县龙凤大王庙 江西省鹰潭市余江县中童镇中童村中童组 正一

470 余江县铁拐李长春阁 江西省鹰潭市余江县春涛乡武昌村丁家组 正一

471 龙虎山嗣汉天师府 江西省鹰潭市龙虎山风景区上清镇府前街 正一

472 龙虎山正一观 江西省鹰潭市龙虎山风景区龙虎山镇龙虎村兰 正一

473 龙虎山兜率宫 江西省鹰潭市龙虎山风景区龙虎山镇鱼塘村舒 正一

474 龙虎山上清宫 江西省鹰潭市龙虎山风景区上清林场机关院内 正一

475 龙虎山上清东岳宫 江西省鹰潭市龙虎山风景区上清镇城门村黄家 正一

476 龙虎山上清长庆庙 江西省鹰潭市龙虎山风景区上清镇上清村长庆 正一

477 赣州市万松山玉虚观 江西省赣州市章贡区水东镇水东村万松山 正一

478 章贡区莲花观 江西省赣州市章贡区沙河镇流坑村3组 正一

479 赣县储君庙 江西省赣州市赣县储潭镇储君街82号 正一

480 赣县王龙庙 江西省赣州市赣县王母渡镇大陂村水坑组 正一

481 赣县慈母宫 江西省赣州市赣县梅林镇梅林村 正一

482 赣县湖江镇万寿宫 江西省赣州市赣县湖江镇松树村松树组 正一

483 赣县小坌万寿宫 江西省赣州市赣县韩坊乡大屋村2组 正一

484 赣县五顕庙 江西省赣州市赣县湖江镇湖江村5组 正一

485 赣县吉江庙 江西省赣州市赣县储潭镇河田村肖屋组 正一

486 赣县龙口古庙 江西省赣州市赣县储潭镇红河村邝屋组 正一

487 赣县仙娘庙 江西省赣州市赣县江口镇江口村 正一

488 赣县灵峰寺 江西省赣州市赣县田村镇斜坑村安子前组 正一

489 赣县韩坊万寿宫 江西省赣州市赣县韩坊乡韩坊村罗陂下组 正一

490 上犹县董公庙 江西省赣州市上犹县油石乡塘角村 正一

491 上犹县上坛观 江西省赣州市上犹县梅水乡竹山村 正一

492 上犹县宗三庙 江西省赣州市上犹县社溪镇社溪村 正一

493 上犹县紫阳万寿宫 江西省赣州市上犹县紫阳乡店背村 正一

494 上犹县邓通庙 江西省赣州市上犹县五指峰乡高峰村 正一

495 上犹县双江庙 江西省赣州市上犹县梅水乡园村村 正一

496 南康区南陂宫 江西省赣州市南康区十八塘乡群丰村走马组 正一

497 南康区张亨庙 江西省赣州市南康区大坪乡桥庄村朱屋组 正一

498 定南县金山庙 江西省赣州市定南县老城镇乐德村 正一

499 定南县五显庙 江西省赣州市定南县岿美山镇寨头村 正一

500 定南县遥溪观 江西省赣州市定南县天九镇石盆村 正一

501 安远县江口万寿宫 江西省赣州市安远县高云山乡铁丰村 正一

502 安远县古秀山真君庙 江西省赣州市安远县车头镇车头村 正一

503 安远县尊圣庙 江西省赣州市安远县新龙乡田心村 正一

504 安远县福神庙 江西省赣州市安远县新龙乡里田村 正一

505 安远县升雾光真君庙 江西省赣州市安远县欣山镇阳光村 正一

506 安远县郭公庙 江西省赣州市安远县欣山镇濂江村 正一

507 安远县叶大幡师庙 江西省赣州市安远县欣山镇水背村 正一

508 安远县太平真君庙 江西省赣州市安远县孔田镇太平村 正一

509 安远县固营真君庙 江西省赣州市安远县双芫乡固营村 正一

510 安远县高乾庵 江西省赣州市安远县三百三镇符山村 正一

511 安远县龙泉湖万寿宫 江西省赣州市安远县欣山镇东门社区龙泉山 正一

512 寻乌县城隍庙 江西省赣州市寻乌县长宁镇城北村 正一

513 寻乌县关帝庙 江西省赣州市寻乌县长宁镇三二五村 正一

514 寻乌县霞光古庙 江西省赣州市寻乌县长宁镇长举村 正一

515 寻乌县大声公庙 江西省赣州市寻乌县文峰乡新罗村 正一

516 于都县紫阳观 江西省赣州市于都县贡江镇古田村 正一

517 于都县真君阁 江西省赣州市于都县仙下乡乱石村 正一

518 于都县银坑万寿宫 江西省赣州市于都县银坑镇银坑村 正一

519 于都县小溪万寿宫 江西省赣州市于都县小溪乡簸箕村 正一

520 于都县黄屋乾万寿宫 江西省赣州市于都县葛坳乡黄屋乾村 正一

521 于都县于山圣庙 江西省赣州市于都县岭背镇下拔村 正一

522 于都县罗坳万寿宫 江西省赣州市于都县罗坳镇罗坳村 正一

523 于都县新陂万寿宫 江西省赣州市于都县新陂乡新陂村 正一

524 于都县禾丰万寿宫 江西省赣州市于都县禾丰镇麻芫村 正一

525 于都县梓山真君庙 江西省赣州市于都县梓山镇大陂村 正一

526 于都县三祖庙 江西省赣州市于都县贡江镇里泗村 正一

527 于都县水府庙 江西省赣州市于都县贡江镇古田村 正一

528 于都县东岳庙 江西省赣州市于都县贡江镇古田村 正一

529 于都县岭背万寿宫 江西省赣州市于都县岭背镇庙角组 正一

530 于都县太祖庙 江西省赣州市于都县岭背镇金溪村 正一

531 于都县二祖庙 江西省赣州市于都县岭背镇下拔村 正一

532 于都县黄麟真君庙 江西省赣州市于都县黄麟乡于阳村 正一

533 于都县铁树院 江西省赣州市于都县仙下乡邹坑村 正一

534 于都县桥头万寿宫 江西省赣州市于都县桥头乡固石村 正一

535 于都县长灵庵 江西省赣州市于都县马安乡桥下村 正一

536 于都县上脑村万寿宫 江西省赣州市于都县葛坳乡上脑村 正一

537 于都县尚书庙 江西省赣州市于都县葛坳乡上脑村 正一

538 于都县利村圩真君庙 江西省赣州市于都县利村乡利村圩 正一

539 于都县连塘村真君庙 江西省赣州市于都县利村乡连塘村 正一

540 于都县宽田真君庙 江西省赣州市于都县宽田乡桂龙村 正一

541 兴国县冰心洞观 江西省赣州市兴国县长冈乡合富村 正一

542 兴国县永丰万寿宫 江西省赣州市兴国县永丰乡永丰村永丰组 正一

543 兴国县蕉溪观 江西省赣州市兴国县永丰乡蕉溪村荷树陂组 正一

544 兴国县三元观 江西省赣州市兴国县长冈乡大塘村星光组 正一

545 兴国县鼎龙万寿宫 江西省赣州市兴国县鼎龙乡鼎龙村鼎龙组 正一

546 兴国县高兴镇关帝庙 江西省赣州市兴国县高兴镇长迳村兰陂组晶晶 正一

547 兴国县敖溪庙 江西省赣州市兴国县高兴镇高兴村敖溪组 正一

548 兴国县桐林村真君庙 江西省赣州市兴国县兴江乡桐林村街上组 正一

549 兴国县圩上万寿宫  江西省赣州市兴国县良村镇溪溪村圩上组 正一

550 兴国县佛祖前真君庙 江西省赣州市兴国县兴江乡南村村坛石背 正一

551 兴国县长冈乡万寿宫 江西省赣州市兴国县长冈乡园塘村太平组 正一

552 兴国县梅窖镇真君庙 江西省赣州市兴国县梅窖镇寨脑村下坳组 正一

553 兴国县肖南村真君庙 江西省赣州市兴国县樟木乡肖南村沉背 正一

554 兴国县张公庙 江西省赣州市兴国县方太镇井口村 正一

555 兴国县新城村真君庙 江西省赣州市兴国县樟木乡新城村寨子下 正一

556 兴国县关帝古宫 江西省赣州市兴国县兴莲乡莲塘村竹莲组 正一

557 兴国县万寿仙宫 江西省赣州市兴国县兴莲乡富溪村五坑组 正一

558 兴国县枫边乡万寿宫 江西省赣州市兴国县枫边乡石印村 正一

559 兴国县三官殿 江西省赣州市兴国县枫边乡石印村 正一

560 兴国县陈公庙 江西省赣州市兴国县方太镇方太村 正一

561 兴国县杰村乡万寿宫 江西省赣州市兴国县杰村乡里丰村 正一

562 兴国县杰村乡真君庙 江西省赣州市兴国县杰村乡古境村 正一

563 兴国县西山万寿宫 江西省赣州市兴国县永丰乡西山村 正一

564 兴国县永丰乡真君庙 江西省赣州市兴国县永丰乡永丰村划船坊组 正一

565 兴国县茂段村真君庙 江西省赣州市兴国县均村乡茂段村水背组 正一

566 兴国县义贯山关帝庙 江西省赣州市兴国县鼎龙乡义贯山 正一

567 兴国县黄田村真君庙 江西省赣州市兴国县均村乡黄田村水口组 正一

568 兴国县石溪村关帝庙 江西省赣州市兴国县均村乡石溪村水口组 正一

569 兴国县隆坪乡万寿宫 江西省赣州市兴国县隆坪乡吾立村吾立组 正一

570 兴国县茶园万寿宫 江西省赣州市兴国县茶园乡茶园村上街组 正一

571 兴国县许真君庙 江西省赣州市兴国县崇贤乡太坪村社口组 正一

572 兴国县万福名山庙 江西省赣州市兴国县崇贤乡三角村万屋组 正一

573 瑞金市团龙古宫 江西省赣州市瑞金市拔英乡赤沙村 正一

574 瑞金市鸽叫山宫 江西省赣州市瑞金市谢坊镇汴口村 正一

575 瑞金市金凤山宫 江西省赣州市瑞金市谢坊镇迳口村 正一

576 瑞金市雲龙山宫 江西省赣州市瑞金市谢坊镇乐村村 正一

577 瑞金市佛祖阁观 江西省赣州市瑞金市谢坊镇宋村村 正一

578 会昌县岚山翠竹祠 江西省赣州市会昌县岚山公园 正一

579 会昌县珠兰乡真君庙 江西省赣州市会昌县珠兰乡必应山 正一

580 会昌县棠应祠 江西省赣州市会昌县站塘乡棠梅湖村 正一

581 会昌县小应庙 江西省赣州市会昌县右水乡中坝村 正一

582 会昌县西江镇关帝庙 江西省赣州市会昌县西江镇兰陂村 正一

583 会昌县麻州镇真君庙 江西省赣州市会昌县麻州镇麻州圩 正一

584 会昌县正湘祠 江西省赣州市会昌县文武坝林岗村 正一

585 会昌县白玉山寺 江西省赣州市会昌县周田镇中桂村 正一

586 会昌县站塘乡真君庙 江西省赣州市会昌县站塘乡站塘圩 正一

587 会昌县大观寺 江西省赣州市会昌县周田镇新圩村 正一

588 会昌县福胜山庙 江西省赣州市会昌县筠门岭镇长岭小湾福胜山 正一

序号 宫观名称                           地址                              派别

589 会昌县庙前垅 江西省赣州市会昌县麻州镇下堡村 正一

590 会昌县翠竹祠 江西省赣州市会昌县文武坝镇晨光村富尾 正一

591 会昌县永庆祠 江西省赣州市会昌县麻州镇齐心村石古陂 正一

592 会昌县朝东祠 江西省赣州市会昌县文武坝镇连峰村 正一

593 会昌县右水廻兰阁 江西省赣州市会昌县右水乡田升村 正一

594 会昌县大成殿 江西省赣州市会昌县周田镇下营村 正一

595 会昌县文波阁 江西省赣州市会昌县珠兰乡珠兰村出口路 正一

596 会昌县益寮万寿宫 江西省赣州市会昌县永隆乡益寮村云莱山 正一

597 会昌县河公庙 江西省赣州市会昌县右水乡右水村 正一

598 会昌县师公岩 江西省赣州市会昌县文武坝镇林岗村 正一

599 会昌县文武庙 江西省赣州市会昌县西江镇西江街 正一

600 会昌县填坑祖庙 江西省赣州市会昌县高排乡庙背村 正一

601 会昌县太清宫 江西省赣州市会昌县庄口镇洛口山 正一

602 会昌县周田关帝庙 江西省赣州市会昌县周田镇老圩 正一

603 会昌县天星庙 江西省赣州市会昌县右水乡田升村 正一

604 会昌县万寿宫 江西省赣州市会昌县右水乡右水圩 正一

605 会昌县忠孝祠 江西省赣州市会昌县站塘乡水明村 正一

606 会昌县潮湘祠 江西省赣州市会昌县文武坝黄坊村 正一

607 会昌县麻州关帝庙 江西省赣州市会昌县麻州镇麻州圩 正一

608 会昌县庙子岽 江西省赣州市会昌县麻州镇麻州圩 正一

609 会昌县庙子坛 江西省赣州市会昌县麻州镇麻州村 正一

610 会昌县庄口迴兰阁 江西省赣州市会昌县庄口镇小坝村 正一

611 会昌县显应祠 江西省赣州市会昌县文武坝镇水西村 正一

612 会昌县洛阳山观 江西省赣州市会昌县西江镇饼丘村 正一

613 宁都县碧虚宫 江西省赣州市宁都县梅江镇迳口村 正一

614 宁都县文昌阁 江西省赣州市宁都县洛口镇古下村 正一

615 宁都县肖田汉帝庙 江西省赣州市宁都县肖田乡吴村村 正一

616 宁都县万寿宫老官庙 江西省赣州市宁都县湛田乡吉富村 正一

617 宁都县城隍庙 江西省赣州市宁都县田头镇田头村 正一

618 宁都县真君庙 江西省赣州市宁都县蔡江乡蔡江村 正一

619 宁都县显华观 江西省赣州市宁都县固村镇旗山村 正一

620 宁都县固村万寿宫 江西省赣州市宁都县固村镇固村村 正一

621 宁都县东岳庙 江西省赣州市宁都县田埠乡马头村 正一

622 宁都县小布万寿宫 江西省赣州市宁都县小布镇小布村 正一

623 宁都县梅江万寿寺 江西省赣州市宁都县梅江镇刘坑村 正一

624 宁都县显应观 江西省赣州市宁都县固村镇旗山村 正一

625 宁都县玄灵观 江西省赣州市宁都县长胜镇樟坑村 正一

626 宁都县青塘三清观 江西省赣州市宁都县青塘镇青塘村 正一

627 宁都县谢村三清观 江西省赣州市宁都县青塘镇谢村村 正一

628 宁都县沈公庙 江西省赣州市宁都县青塘镇谢村村 正一

629 宁都县屈原庙 江西省赣州市宁都县青塘镇孙屋村 正一

630 宁都县梅江汉帝庙 江西省赣州市宁都县梅江镇西厢村 正一

631 宁都县竹笮万寿宫 江西省赣州市宁都县竹笮乡九塘村 正一

632 宁都县经纬阁 江西省赣州市宁都县赖村镇赖村村 正一

633 袁州区三清观 江西省宜春市袁州区化成社区森林公园桂香阁 正一

634 袁州区小洞麻衣庙 江西省宜春市袁州区水江乡小洞村 正一

635 袁州区天台冲天庙 江西省宜春市袁州区天台镇中田村中村组 正一

636 袁州区珠峰圣帝庙 江西省宜春市袁州区水江乡杨岐山 正一

637 袁州区南庙紫云观 江西省宜春市袁州区南庙镇袁梅村 正一

639 樟树市三皇宫 江西省宜春市樟树市城区边街社区三皇宫5号 正一

640 樟树市都宪府 江西省宜春市樟树市永泰镇车埠村委玉湖村 正一

641 樟树市万寿宫 江西省宜春市樟树市经楼镇经楼村委 正一

642 樟树市文昌宫 江西省宜春市樟树市观上镇潭埠街 正一

643 樟树市玉虚观 江西省宜春市樟树市昌傅镇太平圩 正一

644 樟树市崇真观 江西省宜春市樟树市店下镇洞塘村委湘溪村 正一

645 樟树市古南山庙 江西省宜春市樟树市洋湖东阁村委庙背村 正一

646 樟树市聂公庙 江西省宜春市樟树市大桥街道松湖村委 正一

647 樟树市天符庙 江西省宜春市樟树市吴城乡举塘村委李家村 正一

648 樟树市定安观 江西省宜春市樟树市观上镇定安村 正一

649 樟树市大万寿崇真宫 江西省宜春市樟树市阁山镇黄家巷村委鹅溪村 正一

650 樟树市临江万寿宫 江西省宜春市樟树市临江镇边仔街 正一

651 丰城市剑邑万寿宫 江西省宜春市丰城市尚庄街办桥西街01号大 正一

652 丰城市罗山谌母殿 江西省宜春丰城市洛市镇殿上村 正一

653 丰城市梅仙观 江西省宜春市丰城市曲江镇杰路村 正一

654 丰城市金凤山万寿宫 江西省宜春市丰城市泉港镇潭埠村 正一

655 丰城市金华仙院 江西省宜春市丰城市丽村镇挂甲村金华仙院 正一

656 丰城市梦娘庵 江西省宜春市丰城市尚庄街道石上社区 正一

657 丰城市谌母庵 江西省宜春市丰城市秀市镇浅水村 正一

658 丰城市仙林观 江西省宜春市丰城市秀市镇中湾村 正一

659 丰城市北坑地母宫 江西省宜春市丰城市尚庄街道北坑居委会 正一

660 靖安县天花宫 江西省宜春市靖安县罗湾乡官庄村 正一

661 靖安县周公殿 江西省宜春市靖安县高湖镇山口村 正一

662 靖安县朗惠殿 江西省宜春市靖安县高湖镇棠棣村 正一

663 靖安县云雷寺 江西省宜春市靖安县水口乡桃源村 正一

664 奉新县元帝殿 江西省宜春市奉新县宋埠镇天宝行政村天宝自 正一

665 铜鼓县万寿宫 江西省宜春市铜鼓县高桥乡胆坑村潭湾组 全真

666 铜鼓县圣真观 江西省宜春市铜鼓县温泉镇光明村湾子组望云 全真

667 铜鼓县大仙庙 江西省宜春市铜鼓县永宁镇剑石路9号 全真

668 铜鼓县西平山 江西省宜春市铜鼓县棋坪镇幽居村新屋组 全真

669 铜鼓县石井埚庙 江西省宜春市铜鼓县棋坪镇棋坪村田坑组 全真

670 铜鼓县五帝殿 江西省宜春市铜鼓县带溪乡大群村佛堂山 全真

671 铜鼓县西溪傩神殿 江西省宜春市铜鼓县三都镇西向村桥头 全真

672 宜丰县精忠祠 江西省宜春市宜丰县县城南屏公园南屏山灵峰 正一

673 宜丰县紫阳坛 江西省宜春市宜丰县天宝乡黄沙村 正一

674 信州区太极宫 江西省上饶市信州区茅家岭街道周田村 正一

675 信州区庆丰寺 江西省上饶市信州区北门街道沽塘村 正一

676 上饶县水牛塘庙 江西省上饶市上饶县四十八镇波阳村 正一

677 上饶县下坂葛仙庙 江西省上饶市上饶县枫岭头镇王家店村 正一

678 上饶县北灵庙 江西省上饶市上饶县华坛山镇毛村村 正一

679 上饶县灵应宫 江西省上饶市上饶县花厅镇中坂村 正一

680 上饶县居山庙 江西省上饶市上饶县茶亭镇应坊村 正一

681 上饶县天香宫 江西省上饶市上饶县花厅乡前程村 正一

682 上饶县聚龙道宫 江西省上饶市上饶县石人乡姚村村 正一

683 上饶县天香庙 江西省上饶市上饶县四十八镇波阳村 正一

684 上饶县灵山芳殿 江西省上饶市上饶县清水乡双溪村 正一

685 上饶县金山宫 江西省上饶市上饶县五府山镇甘溪村 正一

686 上饶县王大真仙庙 江西省上饶市上饶县罗桥街道办罗桥村 正一

687 上饶县万人殿 江西省上饶市上饶县湖村乡湖村村 正一

688 上饶县白云观 江西省上饶市上饶县应家乡安坑村 正一

689 上饶县裴龙祖师殿 江西省上饶市上饶县茶亭镇下裴村 正一

690 上饶县大路口葛仙庙 江西省上饶市上饶县枫岭头镇枫岭头村 正一

691 上饶县紫云殿 江西省上饶市上饶县枫岭头镇稠川村 正一

692 上饶县畈岩庙 江西省上饶市上饶县黄沙岭乡黄沙村 正一

693 上饶县莲塘庙 江西省上饶市上饶县罗桥街道办罗桥村 正一

694 上饶县石人殿 江西省上饶市上饶县石人乡石人村 正一

695 上饶县桥下葛仙庙 江西省上饶市上饶县旭日街道办桥下村 正一

696 上饶县王家店葛仙庙 江西省上饶市上饶县枫岭头镇王家店村 正一

697 上饶县九龙殿 江西省上饶市上饶县湖村乡碧下村涂家小组 正一

698 上饶县石人宫 江西省上饶市上饶县石人乡石人村溪底村小组 正一

699 上饶县福惠殿 江西省上饶市上饶县清水乡缪源村 正一

700 上饶县普济庙 江西省上饶市上饶县应家乡浮墩村 正一

701 上饶县龙蟠山庙 江西省上饶市上饶县田墩镇泠水村 正一

702 上饶县金岭庙 江西省上饶市上饶县皂头镇巷北村 正一

703 上饶县叶家水口庙 江西省上饶市上饶县华坛山镇叶家村 正一

704 上饶县大王岭庙 江西省上饶市上饶县应家乡东圩村 正一

705 上饶县莲花塘庙 江西省上饶市上饶县茶亭镇白沙村 正一

706 上饶县下屋塘葛仙庙 江西省上饶市上饶县旭日镇桥下村 正一

