江 西 省 道 观 大 全
序号   宫派名称             地址                       派别
112 经开区真武殿 江西省南昌市南昌经开区蛟桥镇赤府村 正一

113 经开区二仙庙 江西省南昌市南昌经开区蛟桥镇双岭村 正一

114 经开区三闾大夫庙 江西省南昌市南昌经开区白水湖双港村河下自 正一

115 红谷滩新区五显庙 江西省南昌市红谷滩新区生米镇生米村 正一

116 红谷滩新区东岳庙 江西省南昌市红谷滩新区生米镇长岗村 正一

117 红谷滩新区何公庙 江西省南昌市红谷滩新区生米镇生米村 正一

118 红谷滩新区清宁福祠庙 江西省南昌市红谷滩新区生米镇南路村潼溪邓 正一

119 红谷滩新区东城保障庙 江西省南昌市红谷滩新区生米镇东城村游平自 正一

120 红谷滩新区金轮观 江西省南昌市红谷滩新区生米镇生米村黎家巷 正一

121 红谷滩新区仙济庵 江西省南昌市红谷滩新区生米镇夏宇村青石岗 正一

122 红谷滩新区张山庙 江西省南昌市红谷滩新区生米镇斗门曾家老屋 正一

123 红谷滩新区永泰福地庙 江西省南昌市红谷滩新区生米镇郡塘村楼下自 正一

124 红谷滩新区景福祠庙 江西省南昌市红谷滩新区生米镇郡塘村九位自 正一

125 红谷滩新区饶氏宗堂庙 江西省南昌市红谷滩新区生米镇桐里村饶家自 正一

126 红谷滩新区璁琪福地庙 江西省南昌市红谷滩新区生米镇铁路村 正一

127 浔阳区姬公庵 江西省九江市浔阳区金鸡坡街道姬公庵滨江东 正一

128 浔阳区市隐庵 江西省九江市浔阳区南湖公园内 正一

129 浔阳区三清殿 江西省九江市浔阳区金鸡坡街道游岭村3组 正一

130 浔阳区万寿宫 江西省九江市浔阳区金鸡坡街道游岭村6组 正一

131 浔阳区三圣宫 江西省九江市浔阳区金鸡坡街道金鸡坡村 正一

132 浔阳区白龙潭道院 江西省九江市三里街76号 正一

133 浔阳区三圣娘娘庙 江西省九江市浔阳区金鸡坡街道姬公庵村 正一

134 庐山区妙严宫 江西省九江市庐山区新港镇竹林村 全真

135 庐山区太平桥天花宫 江西省九江市庐山区新港镇太平桥村 全真

13.6 庐山区开天古观 江西省九江市庐山区虞家河乡开天村 正一

137 庐山区太平宫 江西省九江市庐山区莲花镇太平村1组 全真

138 庐山区关帝庙 江西省九江市庐山区威家镇积余村吴障岭 正一

139 庐山区天善宫 江西省九江市庐山区五里街道三垅村1组 全真

140 庐山区莲花庵 江西省九江市庐山区虞家河乡大桥村魏家冲6 全真

141 庐山区洪垅埂天花宫 江西省九江市庐山区新港镇洪垅埂村 全真

142 庐山区广应案庙 江西省九江市庐山区莲花镇东城村 全真

143 庐山区天后宫 江西省九江市庐山区新港镇太平桥村九湖路 正一

144 湖口县四王庙 江西省九江市湖口县城山镇团墩村 正一

145 湖口县城山总管庙 江西省九江市湖口县城山镇陈仓村 正一

146 湖口县三官殿 江西省九江市湖口县文桥乡文联村 正一

147 湖口县天花宫 江西省九江市湖口县城山镇南湖村 正一

148 都昌县老爷庙 江西省九江市都昌县多宝乡范统村龙头山组 全真

149 都昌县大沙万寿宫 江西省九江市都昌县大沙镇三里村委会新屋组 正一

150 星子县庐山山南简寂观 江西省九江市星子县温泉镇新东山村林场 正一

151 九江县万福宫 江西省九江市九江县港口街镇花园村11组 全真

152 九江县通真观 江西省九江市九江县新塘乡富源村1组 全真

153 九江县玉皇宫 江西省九江市九江县港口街镇白华寺村2组 全真

154 九江县宴公庙 江西省九江市九江县城子镇城子镇村9组 全真

155 九江县朝阳庵 江西省九江市九江县港口街镇茶岭村4组 全真

156 九江县娘娘庙 江西省九江市九江县涌泉乡涌泉村3组 全真

157 九江县圣母庵 江西省九江市九江县城门乡兴联村11组 全真

158 九江县自来庵 江西省九江市九江县城子镇城子镇村7组 全真

159 九江县天王庙 江西省九江市九江县岷山乡花盘村5组 全真

160 九江县赤松观 江西省九江市九江县港口街镇花园村11组 全真

161 九江县巫筮庙 江西省九江市九江县江洲镇九号村8组 全真

162 九江县青龙庵 江西省九江市九江县江洲镇九号村1组 全真

163 九江县石龙庵 江西省九江市九江县新塘乡青山村陈家洼山上 全真

164 九江县万寿宫 江西省九江市九江县江洲镇同兴村11组公路 全真

165 九江县天后宫 江西省九江市九江县江洲镇江洲村15组 全真

166 九江县永兴庙 江西省九江市九江县江洲镇九号村17组 全真

167 九江县盘龙观 江西省九江市九江县岷山乡红光村4组 全真

168 九江县福星殿 江西省九江市九江县新塘乡四华村原林场 全真

169 九江县龙王庙 江西省九江市九江县新塘乡坡丰村1组 全真

170 九江县天圣宫 江西省九江市九江县江洲镇同兴村6组 全真

171 德安县乾寿宫 江西省九江市德安县宝塔乡梅桥村十二组 正一

172 永修县莲花宫 江西省九江市永修县滩溪镇合田村 正一

173 永修县草菇庵 江西省九江市永修县燕坊镇四联村 正一

174 永修县岐山元真观 江西省九江市永修县立新乡岐山邓家村 正一

175 永修县将军庙 江西省九江市永修县江上乡耕源村 正一

176 瑞昌市城隍庙 江西省九江市瑞昌市湓城街道办事处赤乌中路 全真

177 瑞昌市武山观 江西省九江市瑞昌市白杨镇武山村 全真

178 瑞昌市青山太清宫 江西省九江市瑞昌市青山林场下庙分场 全真

179 瑞昌市广云观 江西省九江市瑞昌市码头镇新风村 全真

180 瑞昌市龙山宫 江西省九江市瑞昌市白杨镇郭桥村 全真

181 瑞昌市灵隐寺 江西省九江市瑞昌市横港镇初升村 全真

182 瑞昌市南山寺 江西省九江市瑞昌市横港镇繁荣村 全真

183 瑞昌市王乔洞 江西省九江市瑞昌市高丰镇永丰村 全真

184 瑞昌市上清宫 江西省九江市瑞昌市青山林场下庙分场 全真

185 瑞昌市金仙洞 江西省九江市瑞昌市高丰镇乐丰村 全真

186 瑞昌市九龙宫 江西省九江市瑞昌市范镇红岗村 全真

187 瑞昌市大王庙 江西省九江市瑞昌市范镇源源村 全真

188 瑞昌市宝荣庙 江西省九江市瑞昌市武蛟乡上湖村 全真

189 瑞昌市义成殿 江西省九江市瑞昌市范镇长春村 全真

190 瑞昌市忠勇庙 江西省九江市瑞昌市白杨镇白杨村 全真

191 瑞昌市赵公庙 江西省九江市瑞昌市洪下乡大屋冯村 全真

192 瑞昌市石仙观 江西省九江市瑞昌市黄金乡林泉村 全真

193 瑞昌市万寿宫 江西省九江市瑞昌市肇陈镇八门村 全真

194 瑞昌市康仙庙 江西省九江市瑞昌市横港镇风景村 全真

195 瑞昌市月居宫 江西省九江市瑞昌市横港镇嵋荣村 全真

196 瑞昌市甪里仙观 江西省九江市瑞昌市横港镇清湓村 全真

197 瑞昌市天仙庙 江西省九江市瑞昌市横港镇远景村 全真

198 瑞昌市娘娘庙 江西省九江市瑞昌市范镇范镇村长岭 全真

199 瑞昌市芦泉观 江西省九江市瑞昌市横港镇远景村 全真

200 瑞昌市庙山庵 江西省九江市瑞昌市码头镇长流村 全真

201 瑞昌市苏亭观 江西省九江市瑞昌市南阳乡严畈村 全真

202 瑞昌市相公庙 江西省九江市瑞昌市武蛟乡大桥村 全真

203 瑞昌市天台观 江西省九江市瑞昌市洪下乡石洋村 全真

204 瑞昌市大罗宫 江西省九江市瑞昌市桂林办事处庆丰村三板桥 全真

205 瑞昌市八都庙 江西省九江市瑞昌市范镇八都村 全真

206 瑞昌市天耙山观音庙 江西省九江市瑞昌市范镇源源村石壁徐 全真

207 瑞昌市梦吉观 江西省九江市瑞昌市范镇范镇村长岭 全真

208 瑞昌市许仙庙 江西省九江市瑞昌市范镇东山村 全真

209 武宁县太平山佑圣宫 江西省九江市武宁县甫田乡太平山村 全真

210 武宁县城凤城殿 江西省九江市武宁县街道办东渡社区 全真

211 武宁县新宁镇泉神殿 江西省九江市武宁县新宁镇月田村 全真

212 武宁县鲁溪仙人宫 江西省九江市武宁县鲁溪镇鲁溪村 全真

213 武宁县回头山佑圣宫 江西省九江市武宁县横路乡新溪村 全真

214 武宁县宋溪白云殿 江西省九江市武宁县宋溪镇塘畔村 全真

215 武宁县辽田东岳殿 江西省九江市武宁县船滩镇辽田村 全真

216 武宁县石门银炉殿 江西省九江市武宁县石门楼镇银炉村 全真

217 武宁县新牌万寿宫 江西省九江市武宁县石门楼镇新牌村 全真

218 武宁县南岭皇母殿 江西省九江市武宁县石门楼镇中村村 全真

219 武宁县上菁仙姑殿 江西省九江市武宁县澧溪镇上菁村 全真

220 武宁县梅林玉清宫 江西省九江市武宁县澧溪镇罗坪村 全真

221 武宁县大沅祖爷殿 江西省九江市武宁县澧溪镇大沅村 全真

222 武宁县澧溪镇东岳殿 江西省九江市武宁县澧溪镇澧溪村 全真

223 武宁县上汤万寿宫 江西省九江市武宁县上汤乡上汤村 全真

224 武宁县石渡纯和宫 江西省九江市武宁县石渡乡官田村 全真

225 武宁县大田万寿宫 江西省九江市武宁县清江乡大田村 全真

226 武宁县牌楼地母殿 江西省九江市武宁县澧溪镇牌楼村 全真

227 武宁县岩山圣灵宫 江西省九江市武宁县澧溪镇岩山村 全真

228 武宁县上菁三爷殿 江西省九江市武宁县澧溪镇上菁村 全真

